"date","hour_int","load","weekday_int","month_int"
2022-08-02 21:00:00,21,51781.75,3,8
2022-08-02 22:00:00,22,49135.75,3,8
2022-08-02 23:00:00,23,45517.75,3,8
2022-08-03 00:00:00,0,43151.25,4,8
2022-08-03 01:00:00,1,41585.25,4,8
2022-08-03 02:00:00,2,40565,4,8
2022-08-03 03:00:00,3,40702.5,4,8
2022-08-03 04:00:00,4,41841.75,4,8
2022-08-03 05:00:00,5,45009.25,4,8
2022-08-03 06:00:00,6,50530.5,4,8
2022-08-03 07:00:00,7,55689,4,8
2022-08-03 08:00:00,8,58761.25,4,8
2022-08-03 09:00:00,9,60771,4,8
2022-08-03 10:00:00,10,63036.25,4,8
2022-08-03 11:00:00,11,64197.5,4,8
2022-08-03 12:00:00,12,64215.25,4,8
2022-08-03 13:00:00,13,63573.75,4,8
2022-08-03 14:00:00,14,61891,4,8
2022-08-03 15:00:00,15,60615,4,8
2022-08-03 16:00:00,16,58761.5,4,8
2022-08-03 17:00:00,17,57846.5,4,8
2022-08-03 18:00:00,18,57221.5,4,8
2022-08-03 19:00:00,19,56061,4,8
2022-08-03 20:00:00,20,54221.5,4,8
2022-08-03 21:00:00,21,52546.5,4,8
2022-08-03 22:00:00,22,49759.75,4,8
2022-08-03 23:00:00,23,46236.5,4,8
2022-08-04 00:00:00,0,43724.5,5,8
2022-08-04 01:00:00,1,42190.75,5,8
2022-08-04 02:00:00,2,41193,5,8
2022-08-04 03:00:00,3,41085.25,5,8
2022-08-04 04:00:00,4,41835.25,5,8
2022-08-04 05:00:00,5,44742.75,5,8
2022-08-04 06:00:00,6,50377.25,5,8
2022-08-04 07:00:00,7,55113,5,8
2022-08-04 08:00:00,8,58738.75,5,8
2022-08-04 09:00:00,9,60514.5,5,8
2022-08-04 10:00:00,10,61814,5,8
2022-08-04 11:00:00,11,63377,5,8
2022-08-04 12:00:00,12,63452.5,5,8
2022-08-04 13:00:00,13,63077.25,5,8
2022-08-04 14:00:00,14,61973.25,5,8
2022-08-04 15:00:00,15,61176.75,5,8
2022-08-04 16:00:00,16,59659,5,8
2022-08-04 17:00:00,17,59442,5,8
2022-08-04 18:00:00,18,58683,5,8
2022-08-04 19:00:00,19,57852.5,5,8
2022-08-04 20:00:00,20,55986.5,5,8
2022-08-04 21:00:00,21,54501,5,8
2022-08-04 22:00:00,22,51603.5,5,8
2022-08-04 23:00:00,23,47104,5,8
