ds,y,residuals
2016-01-23 02:00:00,52749.75,-991.4765625
2016-01-23 03:00:00,51502.5,-1352.1328125
2016-01-23 04:00:00,50584.5,-1218.5859375
2016-01-23 05:00:00,49925.0,-3298.3515625
2016-01-23 06:00:00,50343.0,-6419.51171875
2016-01-23 07:00:00,54049.25,-3898.81640625
2016-01-23 08:00:00,58202.0,-272.0546875
2016-01-23 09:00:00,61870.75,2256.0546875
2016-01-23 10:00:00,64031.5,1634.71875
2016-01-23 11:00:00,64699.0,-598.74609375
2016-01-23 12:00:00,63785.25,-835.25
2016-01-23 13:00:00,61542.75,-2617.8515625
2016-01-23 14:00:00,60010.25,-1392.7734375
2016-01-23 15:00:00,59429.25,-75.8671875
2016-01-23 16:00:00,59931.75,-1511.1796875
2016-01-23 17:00:00,63890.25,-744.609375
2016-01-23 18:00:00,64784.5,-1764.6796875
2016-01-23 19:00:00,62326.25,-683.296875
2016-01-23 20:00:00,58335.0,-1027.17578125
2016-01-23 21:00:00,55802.25,-1576.9921875
2016-01-23 22:00:00,54875.0,-253.8046875
2016-01-23 23:00:00,52035.0,343.07421875
2016-01-24 00:00:00,48994.75,2101.40625
2016-01-24 01:00:00,46773.5,3053.3828125
2016-01-24 02:00:00,45778.25,1548.11328125
2016-01-24 03:00:00,45033.25,-250.09765625
2016-01-24 04:00:00,45040.75,1571.53515625
2016-01-24 05:00:00,45089.75,-2125.0234375
2016-01-24 06:00:00,43774.0,-5273.07421875
2016-01-24 07:00:00,45492.0,-1499.7734375
2016-01-24 08:00:00,49083.75,313.76171875
2016-01-24 09:00:00,52779.5,2374.91015625
2016-01-24 10:00:00,55474.5,1574.421875
2016-01-24 11:00:00,58251.25,2686.1015625
2016-01-24 12:00:00,57600.75,-1524.96875
2016-01-24 13:00:00,55505.0,-3321.7109375
2016-01-24 14:00:00,54274.5,-1625.53125
2016-01-24 15:00:00,53836.5,-2184.08203125
2016-01-24 16:00:00,55176.25,-579.78125
2016-01-24 17:00:00,59654.75,-1936.4140625
